,AI_Optimized
2022-07-27,135.83196088762267
2022-07-28,137.313201082897
2022-07-29,138.67994103918056
2022-08-01,140.80253424806577
2022-08-02,141.4515293614386
2022-08-03,144.25370066690428
2022-08-04,146.712239997959
2022-08-05,144.98665678853973
2022-08-08,135.85487260274874
2022-08-09,130.45675001211154
2022-08-10,138.17598539552677
2022-08-11,136.99252457609165
2022-08-12,142.84877938013065
2022-08-15,145.314989979267
2022-08-16,144.14676960687626
2022-08-17,139.99318629713048
2022-08-18,143.3374508242606
2022-08-19,136.28246558542241
2022-08-22,130.05968167600622
2022-08-23,131.18206403398503
2022-08-24,131.49514219350806
2022-08-25,136.77110786123265
2022-08-26,124.14996134195319
2022-08-29,120.64535856142035
2022-08-30,118.10282905378332
2022-08-31,115.24721409454337
2022-09-01,106.41320199251166
2022-09-02,104.19897650728217
2022-09-06,102.80934671211233
2022-09-07,104.74165309534064
2022-09-08,106.84960380773535
2022-09-09,109.88173085365285
2022-09-12,110.78295901164998
2022-09-13,100.2889413749694
2022-09-14,100.26603695192328
2022-09-15,98.74617060928337
2022-09-16,100.80067766790383
2022-09-19,102.20599272699349
2022-09-20,100.63263897809975
2022-09-21,101.28183097763053
2022-09-22,95.93553319902412
2022-09-23,95.59185018005364
2022-09-26,93.39223802299493
2022-09-27,94.8051805976867
2022-09-28,97.27211311273567
2022-09-29,93.33114497737877
2022-09-30,92.71249950065605
2022-10-03,95.5613182414054
2022-10-04,100.5638965406417
2022-10-05,100.88469701280584
2022-10-06,100.28129927520742
2022-10-07,92.23133160676946
2022-10-10,89.1304839996337
2022-10-11,88.48893409986486
2022-10-12,87.83210000057211
2022-10-13,91.3453730641364
2022-10-14,85.7470537112235
2022-10-17,90.79547002487172
2022-10-18,91.39883859415043
2022-10-19,92.04037390975941
2022-10-20,93.13255976476658
2022-10-21,95.20997124643314
2022-10-24,96.22578714838016
2022-10-25,101.28183097763049
2022-10-26,98.49413445081699
2022-10-27,100.63263897809969
2022-10-28,105.65815816078171
2022-10-31,103.08429458570465
2022-11-01,103.43562699651703
2022-11-02,100.96106696586594
2022-11-03,102.50383043947204
2022-11-04,108.11743399190885
2022-11-07,109.22489675436003
2022-11-08,111.52379787168486
2022-11-09,105.21517888946518
2022-11-10,120.29170726919156
2022-11-11,124.69857368307093
2022-11-14,124.45417233228663
2022-11-15,127.28771416559199
2022-11-16,121.51372131519298
2022-11-17,119.73417671432476
2022-11-18,117.68730446338635
2022-11-21,116.98464693384153
2022-11-22,122.49131942625027
2022-11-23,126.16499637193661
2022-11-25,124.26323651151638
2022-11-28,120.8798062231062
2022-11-29,119.44393734912853
2022-11-30,129.28360019369106
2022-12-01,130.9031857293127
2022-12-02,128.92458193063715
2022-12-05,126.89246884946802
2022-12-06,122.13305224742868
2022-12-07,123.1491233721731
2022-12-08,131.16294420042016
2022-12-09,129.87950896520593
2022-12-12,133.95900474290823
2022-12-13,138.0614414040563
2022-12-14,135.02090658998466
2022-12-15,129.50516275014854
2022-12-16,126.59452904787041
2022-12-19,124.17280013627985
2022-12-20,122.88172280130365
2022-12-21,126.05977165861107
2022-12-22,117.18264878005961
2022-12-23,116.16659223947505
2022-12-27,107.87774332475644
2022-12-28,107.2283690232275
2022-12-29,111.5599665881155
2022-12-30,111.6440005171774
2023-01-03,109.35979294090254
2023-01-04,112.6753412572859
2023-01-05,108.97781191816313
2023-01-06,113.5156805479048
2023-01-09,119.39046452703458
2023-01-10,121.53717264423352
2023-01-11,122.23999789161662
2023-01-12,126.1361343195913
2023-01-13,129.10027730436303
2023-01-17,135.23481246252035
2023-01-18,132.7519759211538
2023-01-19,128.07657137193658
2023-01-20,136.28143011007285
2023-01-23,146.62531840524647
2023-01-24,147.1753454098699
2023-01-25,147.61845593862506
2023-01-26,151.27775290269824
2023-01-27,155.57881123685806
2023-01-30,146.38848623342486
2023-01-31,149.2533256737706
2023-02-01,159.99442814664806
2023-02-02,165.84630770273174
2023-02-03,161.19384403696026
2023-02-06,161.10983927621805
2023-02-07,169.3910460911747
2023-02-08,169.63550577859843
2023-02-09,170.64392751150095
2023-02-10,162.45435297288859
2023-02-13,166.44982940568886
2023-02-14,175.48738533468207
2023-02-15,173.9059957137104
2023-02-16,168.08469914083446
2023-02-17,163.394039560413
2023-02-21,157.794261791515
2023-02-22,158.5505963213917
2023-02-23,180.78156661806068
2023-02-24,177.8938154625889
2023-02-27,179.53632729749643
2023-02-28,177.35904348916972
2023-03-01,173.4017921393391
2023-03-02,178.1077213351246
2023-03-03,182.50808321371042
2023-03-06,179.94122732744182
2023-03-07,177.93931804132427
2023-03-08,184.76254639596903
2023-03-09,179.07017379617656
2023-03-10,175.4713573430058
2023-03-13,175.47897027444807
2023-03-14,183.8609390498158
2023-03-15,185.12168133230176
2023-03-16,195.15406655721628
2023-03-17,196.55995039854014
2023-03-20,197.8970990944859
2023-03-21,200.1817077351567
2023-03-22,202.2370825512883
2023-03-23,207.76137270879715
2023-03-24,204.61339638910266
2023-03-27,202.7184764996526
2023-03-28,201.7939282700536
2023-03-29,206.1797497412679
2023-03-30,209.22843710069628
2023-03-31,212.2389139613149
2023-04-03,213.67538078584644
2023-04-04,209.76328199491473
2023-04-05,205.39271555490467
2023-04-06,206.5847226920125
2023-04-10,210.72601155500385
2023-04-11,207.5933048506734
2023-04-12,202.44339007654162
2023-04-13,202.19885746831866
2023-04-14,204.45292687826128
2023-04-17,206.3172783686635
2023-04-18,211.39842882909747
2023-04-19,213.4155785622594
2023-04-20,207.09664128694507
2023-04-21,207.21122903089497
2023-04-24,206.6229186066625
2023-04-25,200.50263217267965
2023-04-26,205.96578553209278
2023-04-27,208.028831616306
2023-04-28,212.02494975213972
2023-05-01,220.89592540731397
2023-05-02,215.54737437601057
2023-05-03,212.42992270288437
2023-05-04,210.59612502737016
2023-05-05,219.13857789773914
2023-05-08,222.73735059843034
2023-05-09,218.30570569696397
2023-05-10,220.7049166657445
2023-05-11,218.35915664281816
2023-05-12,216.54068691930743
2023-05-15,221.22449194459887
2023-05-16,223.21111703119252
2023-05-17,230.58444531125994
2023-05-18,242.04566984510393
2023-05-19,238.8824093258855
2023-05-22,238.2099920517919
2023-05-23,234.48128907098746
2023-05-24,233.33517828493092
2023-05-25,290.1980154154774
2023-05-26,297.5790295477863
2023-05-30,306.48058818616823
2023-05-31,289.0824730284687
2023-06-01,303.8751280287739
2023-06-02,300.49026120061836
2023-06-05,299.2982394793506
2023-06-06,295.34797394208863
2023-06-07,286.3690317515369
2023-06-08,294.27816748037293
2023-06-09,296.26493840856506
2023-06-12,301.7057634192462
2023-06-13,313.47383867635676
2023-06-14,328.56599398336357
2023-06-15,325.93728667516655
2023-06-16,326.23527022924367
2023-06-20,334.7632701972002
2023-06-21,328.93275643529836
2023-06-22,328.7799436083788
2023-06-23,322.54439855909294
2023-06-26,310.4935947791094
2023-06-27,319.9997251799578
2023-06-28,314.19977981710383
2023-06-29,311.9454770606036
2023-06-30,323.2550263319964
2023-07-03,324.10327023725455
2023-07-05,323.3697161650652
2023-07-06,321.73436515264456
2023-07-07,324.79100087919176
2023-07-10,322.32277766599594
2023-07-11,324.0421917757982
2023-07-12,335.481598406505
2023-07-13,351.3379636897081
2023-07-14,347.4560103571886
2023-07-17,355.0364774596208
2023-07-18,362.9302706522935
2023-07-19,359.74369006147316
2023-07-20,347.84572827672895
2023-07-21,338.5917288313859
2023-07-24,340.90716838598183
2023-07-25,349.06070546560215
2023-07-26,347.3260654929154
2023-07-27,350.74955117635653
2023-07-28,357.24486928090977
2023-07-31,357.084443522548
2023-08-01,355.3879848803513
2023-08-02,338.2861323458665
2023-08-03,340.1659138773912
2023-08-04,341.42677283315595
2023-08-07,347.05865033788615
2023-08-08,341.30452840528426
2023-08-09,325.18074796705184
2023-08-10,323.91224691152513
2023-08-11,312.1976371844286
2023-08-14,334.34301304693156
2023-08-15,335.77199819745954
2023-08-16,332.30271825208604
2023-08-17,331.2175984225267
2023-08-18,330.87373310155806
2023-08-21,358.9031465926164
